รหัส,ชื่อเขต,ประชากร*,จำนวน-แห่ง,ไร่,งาน,ตร.วา,พื้นที่รวม ตร.ม.,อัตราส่วนพื้นที่สีเขียว (1)
1,เขตคลองเตย,"93,193",278,906,1,42.17,"1,450,168.68",15.56
2,เขตคลองสาน,"69,139",202,265,0,24.00,"424,096.00",6.13
3,เขตคลองสามวา,"204,900",451,"8,271",0,66.65,"13,233,866.60",64.59
4,เขตคันนายาว,"96,330",458,"5,491",1,68.72,"8,786,274.88",91.21
5,เขตจตุจักร,"155,297",298,"1,814",2,33.02,"2,903,332.10",18.70
6,เขตจอมทอง,"148,290",364,"1,661",1,88.41,"2,658,353.63",17.93
7,เขตดอนเมือง,"170,791",224,"2,609",3,19.57,"4,175,678.27",24.45
8,เขตดินแดง,"115,508",273,392,1,37.60,"627,750.40",5.43
9,เขตดุสิต,"83,897",237,928,1,83.61,"1,485,534.44",17.71
10,เขตตลิ่งชัน,"103,617",401,"3,341",0,16.05,"5,345,664.19",51.59
11,เขตทวีวัฒนา,"78,749",318,"2,677",2,47.21,"4,284,188.82",54.40
12,เขตทุ่งครุ,"123,700",449,"3,387",3,89.99,"5,420,759.96",43.82
13,เขตธนบุรี,"103,377",241,455,0,32.62,"728,130.48",7.04
14,เขตบางเขน,"187,377",212,"3,180",1,54.86,"5,088,619.44",27.16
15,เขตบางแค,"193,303",582,"2,333",0,26.07,"3,732,904.29",19.31
16,เขตบางกอกใหญ่,"63,861",181,474,2,6.00,"759,224.00",11.89
17,เขตบางกอกน้อย,"103,791",318,683,1,55.79,"1,093,423.16",10.53
18,เขตบางกะปิ,"144,732",356,"1,293",1,37.69,"2,069,350.77",14.30
19,เขตบางขุนเทียน,"186,144",539,"32,636",0,13.71,"52,217,654.86",280.52
20,เขตบางคอแหลม,"82,733",253,429,2,97.21,"687,588.82",8.31
21,เขตบางซื่อ,"122,410",330,830,1,50.39,"1,328,601.56",10.85
22,เขตบางนา,"88,535",298,"1,095",0,55.05,"1,752,220.20",19.79
23,เขตบางบอน,"104,366",374,"1,636",3,5.43,"2,618,821.72",25.09
24,เขตบางพลัด,"89,417",257,654,0,54.41,"1,046,617.63",11.70
25,เขตบางรัก,"45,757",370,167,0,43.77,"267,375.08",5.84
26,เขตบึงกุ่ม,"140,817",289,"1,994",3,16.43,"3,191,665.72",22.67
27,เขตปทุมวัน,"43,338",192,"1,085",2,65.00,"1,737,060.00",40.08
28,เขตประเวศ,"181,821",360,"4,642",1,82.79,"7,427,931.17",40.85
29,เขตป้อมปราบศัตรูพ่าย,"41,524",134,182,1,58.79,"291,835.16",7.03
30,เขตพญาไท,"67,388",213,345,1,32.36,"552,529.44",8.20
31,เขตพระโขนง,"87,856",540,672,2,13.47,"1,076,053.90",12.25
32,เขตพระนคร,"44,923",184,480,2,41.41,"768,965.64",17.12
33,เขตภาษีเจริญ,"124,318",265,504,0,88.78,"806,755.12",6.49
34,เขตมีนบุรี,"142,197",350,"4,828",0,27.83,"7,724,911.30",54.33
35,เขตยานนาวา,"76,564",388,"1,139",2,65.17,"1,823,460.68",23.82
36,เขตราชเทวี,"69,264",300,814,3,30.21,"1,303,720.84",18.82
37,เขตราษฎร์บูรณะ,"78,687",277,"2,194",2,21.20,"3,511,284.80",44.62
38,เขตลาดกระบัง,"178,971",373,"4,762",0,92.61,"7,619,570.44",42.57
39,เขตลาดพร้าว,"117,108",267,745,0,56.62,"1,192,226.48",10.18
40,เขตวังทองหลาง,"107,458",331,529,3,45.34,"847,781.34",7.89
41,เขตวัฒนา,"81,623",296,448,2,46.94,"717,787.75",8.79
42,เขตสวนหลวง,"123,609",262,871,1,44.21,"1,394,176.84",11.28
43,เขตสะพานสูง,"96,092",365,"2,713",0,92.17,"4,341,168.68",45.18
44,เขตสัมพันธวงศ์,"21,324",113,93,0,79.72,"149,118.90",6.99
45,เขตสาทร,"75,735",226,474,2,25.30,"759,301.20",10.03
46,เขตสายไหม,"207,272",301,"3,014",2,38.86,"4,823,355.46",23.27
47,เขตหนองแขม,"156,203",384,"3,026",2,41.51,"4,842,566.04",31.00
48,เขตหนองจอก,"177,979",347,"15,168",2,82.16,"24,269,928.64",136.36
49,เขตหลักสี่,"102,704",335,"1,849",3,85.13,"2,959,940.52",28.82
50,เขตห้วยขวาง,"84,233",268,"1,925",0,27.85,"3,080,111.42",36.57